,HomeTeam,AwayTeam,FTR,PredictedFTR
738,Aston Villa,Southampton,H,H
739,Charlton,Sunderland,NH,NH
740,Derby,Leeds,NH,H
741,Fulham,Leicester,NH,H
742,Ipswich,Man United,NH,NH
743,Middlesbrough,Chelsea,NH,NH
744,Newcastle,West Ham,H,NH
745,Tottenham,Liverpool,H,H
746,Everton,Blackburn,NH,NH
747,Bolton,Arsenal,NH,H
748,Liverpool,Blackburn,H,NH
749,Man United,Arsenal,NH,H
750,Arsenal,Everton,H,NH
751,Blackburn,Fulham,H,H
752,Chelsea,Aston Villa,NH,NH
753,Leeds,Middlesbrough,H,NH
754,Leicester,Tottenham,H,NH
755,Liverpool,Ipswich,H,H
756,Man United,Charlton,NH,NH
757,Southampton,Newcastle,H,H
758,Sunderland,Derby,NH,NH
759,West Ham,Bolton,H,NH
760,Blackburn,Sunderland,NH,NH
761,Charlton,Chelsea,NH,NH
762,Everton,Tottenham,NH,H
763,Fulham,Bolton,H,H
764,Leeds,Man City,H,NH
765,Man United,West Brom,H,NH
766,Southampton,Middlesboro,NH,NH
767,Arsenal,Birmingham,H,NH
768,Aston Villa,Liverpool,NH,NH
